CASE_NUMBER,CASE_STATUS,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_END_DATE,EMPLOYER_NAME,JOB_TITLE,SOC_NAME,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,WAGE_RATE_OF_PAY_FROM,PREVAILING_WAGE,FULL_TIME_POSITION,PW_UNIT_OF_PAY,PW_SOURCE_YEAR,H1B_DEPENDENT,EMPLOYER_CITY,WORKSITE_CITY,WORKSITE_COUNTY,EMPLOYER_STATE,WORKSITE_STATE,EMPLOYER_LAT,EMPLOYER_LONG,WORKSITE_LAT,WORKSITE_LONG
20,CERTIFIED-WITHDRAWN,18-09-2013,03-10-2016,H-1B,24-10-2016,HARMONY SCIENCE ACADEMY-WACO,FOREIGN LANGUAGE TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,38970,38970,Y,Year,2013,N,WACO,WACO,MCLENNAN,TX,TX,31.535916,-97.18588,31.535916,-97.18588
21,CERTIFIED-WITHDRAWN,23-09-2013,03-10-2016,H-1B,27-11-2016,"IDC TECHNOLOGIES, INC.",PROGRAMMER ANALYST,COMPUTER SYSTEMS ANALYSTS,1,0,1,0,0,0,0,104000,96845,Y,Year,2013,Y,MILPITAS,MILPITAS,SANTA CLARA,CA,CA,37.436451,-121.89438,37.436451,-121.89438
22,CERTIFIED-WITHDRAWN,18-10-2013,03-10-2016,H-1B,01-12-2016,BATTELLE,POST DOCTORATE RESEARCH ASSOCIATE,"BIOLOGICAL SCIENTISTS, ALL OTHER",1,1,0,0,0,0,0,28.85,19.16,N,Hour,2013,N,RICHLAND,RICHLAND,BENTON,WA,WA,46.35,-119.32,46.35,-119.32
23,CERTIFIED-WITHDRAWN,21-10-2013,03-10-2016,H-1B,28-02-2017,OREGON HEALTH & SCIENCE UNIVERSITY,POSTDOCTORAL RESEARCHER,"BIOLOGICAL SCIENTISTS, ALL OTHER",1,1,0,0,0,0,0,40706,40706,Y,Year,2013,N,PORTLAND,PORTLAND,MULTNOMAH,OR,OR,45.488031,-122.693796,45.488031,-122.693796
24,CERTIFIED-WITHDRAWN,24-10-2013,03-10-2016,H-1B,22-11-2016,GIMMAL LLC,MANAGING CONSULTANT - SHAREPOINT DEVELOPER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,1,0,0,0,0,78000,77875,Y,Year,2013,N,HOUSTON,HOUSTON,HARRIS,TX,TX,29.733181,-95.43131,29.733181,-95.43131
25,CERTIFIED-WITHDRAWN,04-12-2013,03-10-2016,H-1B,31-12-2016,HARMONY SCIENCE ACADEMY-EULESS,SCIENCE TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,45540,45540,Y,Year,2013,N,EULESS,EULESS,TARRANT,TX,TX,32.826172,-97.09721,32.826172,-97.09721
26,CERTIFIED-WITHDRAWN,23-12-2013,03-10-2016,H-1B,26-12-2016,"PLANTRONICS, INC.",SOFTWARE ENGINEER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,66331,66331,Y,Year,2013,N,SANTA CRUZ,AUSTIN,TRAVIS,CA,TX,36.980556,-122.04603,30.246309,-97.76087
27,CERTIFIED-WITHDRAWN,23-12-2013,03-10-2016,H-1B,10-05-2017,THE UNIVERSITY OF CHICAGO,POSTDOCTORAL SCHOLAR,BIOCHEMISTS AND BIOPHYSICISTS,1,1,0,0,0,0,0,39611,37440,Y,Year,2013,N,CHICAGO,CHICAGO,COOK,IL,IL,41.779384,-87.60544,41.779384,-87.60544
28,CERTIFIED-WITHDRAWN,24-02-2014,03-10-2016,H-1B,14-04-2017,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",POSTDOCTORAL SCHOLAR,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",1,1,0,0,0,0,0,47244,47244,Y,Year,2014,N,LOS ANGELES,LOS ANGELES,LOS ANGELES,CA,CA,33.786594,-118.298662,33.786594,-118.298662
29,CERTIFIED-WITHDRAWN,26-02-2014,03-10-2016,H-1B,23-08-2017,"AXCESS FINANCIAL SERVICES, INC.",ANALYST - MARKETING ANALYTICS,STATISTICIANS,1,1,0,0,0,0,0,70000,46696,Y,Year,2013,N,CINCINNATI,CINCINNATI,HAMILTON,OH,OH,39.205109,-84.39512,39.205109,-84.39512
30,CERTIFIED-WITHDRAWN,27-02-2014,03-10-2016,H-1B,06-06-2017,WASHINGTON STATE UNIVERSITY,POSTDOCTORAL RESEARCH ASSOCIATE,SOIL AND PLANT SCIENTISTS,1,0,1,0,0,0,0,41600,35734,Y,Year,2013,N,PULLMAN,PULLMAN,WHITMAN,WA,WA,46.838747,-117.644337,46.838747,-117.644337
31,CERTIFIED-WITHDRAWN,04-03-2014,03-10-2016,H-1B,02-09-2017,"J.B. HUNT TRANSPORT SERVICES, INC.",BUSINESS INTELLIGENCE ANALYST I,"COMPUTER OCCUPATIONS, ALL OTHER",1,1,0,0,0,0,0,45302,45302,Y,Year,2013,N,LOWELL,LOWELL,BENTON,AR,AR,36.247575,-94.11371,36.247575,-94.11371
32,CERTIFIED-WITHDRAWN,11-03-2014,03-10-2016,H-1B,09-09-2017,TECHTOMIX LLC,PROGRAMMER / ANALYST,COMPUTER SYSTEMS ANALYSTS,1,1,0,0,0,0,0,62866,57866,Y,Year,2013,N,CONCORD,CONCORD,NORTH CAROLINA,NC,NC,35.222406,-80.79221,35.222406,-80.79221
33,CERTIFIED-WITHDRAWN,11-03-2014,03-10-2016,H-1B,31-03-2017,TECHTOMIX LLC,PROGRAMMER / ANALYST,COMPUTER SYSTEMS ANALYSTS,1,1,0,0,0,0,0,62866,57866,Y,Year,2013,N,CONCORD,CONCORD,NORTH CAROLINA,NC,NC,35.222406,-80.79221,35.222406,-80.79221
34,CERTIFIED-WITHDRAWN,12-03-2014,03-10-2016,H-1B,31-08-2017,"SEQUENOM CENTER FOR MOLECULAR MEDICINE, LLC",BIOINFORMATICS SCIENTIST I,"BIOLOGICAL SCIENTISTS, ALL OTHER",1,1,0,0,0,0,0,98914,60819,Y,Year,2013,N,GRAND RAPIDS,SAN DIEGO,SAN DIEGO,MI,CA,42.964176,-85.65885,32.899996,-117.20722
35,CERTIFIED-WITHDRAWN,20-03-2014,03-10-2016,H-1B,19-09-2017,"CAREMARK, LLC",JAVA DEVELOPER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,57200,50128,Y,Year,2013,N,IRVING,BUFFALO GROVE,LAKE,TX,IL,32.876474,-96.94129,42.167638,-87.96393
36,CERTIFIED-WITHDRAWN,25-03-2014,03-10-2016,H-1B,17-03-2017,HEARST COMMUNICATIONS INC.,INTEGRATED SALES MANAGER,SALES MANAGERS,1,0,0,0,0,1,0,120000,97900,Y,Year,2013,N,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.765714,-73.9856,40.765714,-73.9856
37,CERTIFIED-WITHDRAWN,25-03-2014,03-10-2016,H-1B,09-09-2017,TECHTOMIX LLC,PROGRAMMER / ANALYST,COMPUTER SYSTEMS ANALYSTS,1,1,0,0,0,0,0,62866,57866,Y,Year,2013,N,CONCORD,CONCORD,CABARRUS,NC,NC,35.222406,-80.79221,35.222406,-80.79221
38,CERTIFIED-WITHDRAWN,24-04-2014,03-10-2016,H-1B,28-04-2017,LIBSYS INC,SOFTWARE DEVELOPER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,0,0,1,0,87600,87547,Y,Year,2013,Y,NAPERVILLE,SEATTLE,KING,IL,WA,41.794885,-88.16188,47.61067,-122.33438
39,CERTIFIED-WITHDRAWN,12-06-2014,03-10-2016,H-1B,21-09-2017,TARLETON STATE UNIVERSITY,SR. RESEARCH ASSOCIATE,OPERATIONS RESEARCH ANALYSTS,1,1,0,0,0,0,0,51533,50523,Y,Year,2013,N,STEPHENVILLE,STEPHENVILLE,ERATH,TX,TX,32.215275,-98.207997,32.242816,-98.21058
40,CERTIFIED-WITHDRAWN,17-06-2014,03-10-2016,H-1B,24-11-2017,MEDIATEK USA INC.,MEMBER OF TECHNICAL STAFF,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",1,0,1,0,0,0,0,94640,94640,Y,Year,2013,N,SAN JOSE,AUSTIN,TRAVIS,CA,TX,37.412539,-121.94461,30.359935,-97.83125
41,CERTIFIED-WITHDRAWN,20-06-2014,03-10-2016,H-1B,30-04-2017,THE UNIVERSITY OF GEORGIA,POSTDOCTORAL RESEARCH ASSOCIATE,ENVIRONMENTAL ENGINEERS,1,0,0,1,0,0,0,62500,46862,Y,Year,2014,N,ATHENS,ATHENS,CLARKE,GA,GA,33.948432,-83.3749,33.948432,-83.3749
42,CERTIFIED-WITHDRAWN,03-07-2014,03-10-2016,H-1B,03-08-2017,HARMONY SCHOOL OF FINE ARTS & TECHNOLOGY,SCIENCE TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,0,0,0,1,0,42330,42330,Y,Year,2014,N,HOUSTON,HOUSTON,HARRIS,TX,TX,29.683865,-95.39772,29.683865,-95.39772
43,CERTIFIED-WITHDRAWN,03-07-2014,03-10-2016,H-1B,10-08-2017,DOVE SCIENCE ACADEMY-TULSA,MATH TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,0,0,0,1,0,32550,32550,Y,Year,2014,N,TULSA,TULSA,TULSA,OK,OK,36.148444,-95.90841,36.148444,-95.90841
44,CERTIFIED-WITHDRAWN,03-07-2014,03-10-2016,H-1B,10-08-2017,LITTLE SCHOLARS OF ARKANSAS,SCIENCE TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,0,0,0,1,0,38400,38400,Y,Year,2014,N,SHERWOOD,SHERWOOD,PULASKI,AR,AR,34.777238,-92.17913,34.777238,-92.17913
45,CERTIFIED-WITHDRAWN,23-07-2014,03-10-2016,H-1B,06-08-2017,HARMONY SCHOOL OF INNOVATION-DALLAS,FOREIGN LANGUAGE TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,43470,43470,Y,Year,2014,N,CARROLLTON,CARROLLTON,DENTON,TX,TX,33.00542,-96.89773,33.00542,-96.89773
46,CERTIFIED-WITHDRAWN,23-07-2014,03-10-2016,H-1B,06-08-2017,HARMONY SCHOOL OF INNOVATION-GARLAND,MATH TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,43470,43470,Y,Year,2014,N,GARLAND,GARLAND,DALLAS,TX,TX,32.920574,-96.62639,32.920574,-96.62639
47,CERTIFIED-WITHDRAWN,23-07-2014,03-10-2016,H-1B,04-08-2017,HARMONY SCIENCE ACADEMY-SAN ANTONIO,SCIENCE TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",2,0,2,0,0,0,0,44510,44510,Y,Year,2014,N,SAN ANTONIO,SAN ANTONIO,BEXAR,TX,TX,29.412338,-98.70484,29.412338,-98.70484
48,CERTIFIED-WITHDRAWN,23-07-2014,03-10-2016,H-1B,04-08-2017,HARMONY SCHOOL OF INNOVATION-HOUSTON,FOREIGN LANGUAGE TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,42330,42330,Y,Year,2014,N,HOUSTON,HOUSTON,HARRIS,TX,TX,29.668489,-95.5869,29.668489,-95.5869
49,CERTIFIED-WITHDRAWN,04-08-2014,03-10-2016,H-1B,04-08-2017,HARMONY SCHOOL OF SCIENCE-HOUSTON HIGH,MATH TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,42330,42330,Y,Year,2014,N,SUGARLAND,SUGARLAND,FORT BEND,TX,TX,29.627737,-95.62444,29.627737,-95.62444
50,CERTIFIED-WITHDRAWN,05-08-2014,03-10-2016,H-1B,04-08-2017,HARMONY SCHOOL OF INNOVATION-EL PASO,SCIENCE TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,42340,42340,Y,Year,2014,N,EL PASO,EL PASO,EL PASO,TX,TX,31.901737,-106.41827,31.901737,-106.41827
51,CERTIFIED-WITHDRAWN,05-08-2014,03-10-2016,H-1B,06-08-2017,HARMONY SCIENCE ACADEMY-DALLAS,COMPUTER TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,43470,43470,Y,Year,2014,N,DALLAS,DALLAS,DALLAS,TX,TX,32.912225,-96.73688,32.912225,-96.73688
52,CERTIFIED-WITHDRAWN,05-08-2014,03-10-2016,H-1B,04-08-2017,HARMONY SCHOOL OF POLITICAL SCIENCE AND COMMUNICATION,INSTRUCTIONAL COORDINATOR: SCIENCE,INSTRUCTIONAL COORDINATORS,1,0,1,0,0,0,0,46571,46571,Y,Year,2014,N,AUSTIN,AUSTIN,WILLIAMSON,TX,TX,30.494623,-97.75687,30.494623,-97.75687
53,CERTIFIED-WITHDRAWN,12-08-2014,03-10-2016,H-1B,11-08-2017,HARMONY SCIENCE ACADEMY-DALLAS,SCIENCE TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,45540,43470,Y,Year,2014,N,DALLAS,DALLAS,DALLAS,TX,TX,32.912225,-96.73688,32.912225,-96.73688
54,CERTIFIED-WITHDRAWN,12-08-2014,03-10-2016,H-1B,11-08-2017,HARMONY SCIENCE ACADEMY-BROWNSVILLE,MATH TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,45600,41940,Y,Year,2014,N,BROWNSVILLE,BROWNSVILLE,CAMERON,TX,TX,25.928274,-97.51618,25.928274,-97.51618
55,CERTIFIED-WITHDRAWN,12-08-2014,03-10-2016,H-1B,11-08-2017,HARMONY SCHOOL OF BUSINESS,SCIENCE TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,43470,43470,Y,Year,2014,N,DALLAS,DALLAS,DALLAS,TX,TX,32.998132,-96.79088,32.998132,-96.79088
56,CERTIFIED-WITHDRAWN,12-08-2014,03-10-2016,H-1B,11-08-2017,HARMONY SCHOOL OF NATURE & ATHLETICS,MATH TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,45540,43470,Y,Year,2014,N,DALLAS,DALLAS,DALLAS,TX,TX,32.639661,-96.95317,32.639661,-96.95317
57,CERTIFIED-WITHDRAWN,13-08-2014,03-10-2016,H-1B,20-08-2017,OOYALA INC.,ASSOCIATE PRODUCT MANAGER,COMPUTER AND INFORMATION SYSTEMS MANAGERS,1,0,0,0,0,1,0,115000,99337,Y,Year,2014,N,MOUNTAIN VIEW,MOUNTAIN VIEW,SANTA CLARA,CA,CA,37.380207,-122.08787,37.380207,-122.08787
58,CERTIFIED-WITHDRAWN,25-08-2014,03-10-2016,H-1B,25-08-2017,TECHTOMIX LLC,PROGRAMMER / ANALYST,COMPUTER SYSTEMS ANALYSTS,1,0,0,1,0,0,0,62866,60507,Y,Year,2014,N,CONCORD,CONCORD,CABARRUS,NC,NC,35.222406,-80.79221,35.222406,-80.79221
59,CERTIFIED-WITHDRAWN,25-08-2014,03-10-2016,H-1B,09-11-2017,HARMONY SCHOOL OF EXCELLENCE-AUSTIN,COMPUTER TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,41460,41460,Y,Year,2014,N,AUSTIN,AUSTIN,TRAVIS,TX,TX,30.188377,-97.74038,30.188377,-97.74038
60,CERTIFIED-WITHDRAWN,24-09-2014,03-10-2016,H-1B,06-10-2017,MEDIATEK USA INC.,SOFTWARE ENGINEER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,0,0,1,0,87300,80962,Y,Year,2014,N,SAN JOSE,SAN JOSE,SANTA CLARA,CA,CA,37.412539,-121.94461,37.412539,-121.94461
61,CERTIFIED-WITHDRAWN,03-11-2014,03-10-2016,H-1B,31-03-2017,UNIVERSITY OF PITTSBURGH,RESEARCH ASSOCIATE,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",1,1,0,0,0,0,0,45900,43597,Y,Year,2014,N,PITTSBURGH,PITTSBURGH,ALLEGHENY,PA,PA,40.434436,-80.024817,40.471468,-79.95726
62,CERTIFIED-WITHDRAWN,13-11-2014,03-10-2016,H-1B,01-12-2017,"CAREMARK, LLC","SENIOR ANALYST, BUSINESS SYSTEMS",COMPUTER SYSTEMS ANALYSTS,1,0,0,0,0,1,0,97115,97115,Y,Year,2014,N,WOONSOCKET,SCOTTSDALE,MARICOPA,RI,AZ,42.001731,-71.50722,33.606004,-111.88699
63,CERTIFIED-WITHDRAWN,25-11-2014,03-10-2016,H-1B,31-03-2018,HARVARD UNIVERSITY,POSTDOCTORAL FELLOW,"BIOLOGICAL SCIENTISTS, ALL OTHER",1,1,0,0,0,0,0,49884,42702,Y,Year,2014,N,CAMBRIDGE,CAMBRIDGE,MIDDLESEX,MA,MA,42.379146,-71.12803,42.379146,-71.12803
64,CERTIFIED-WITHDRAWN,23-12-2014,03-10-2016,H-1B,12-01-2018,"CLOUDCAR, INC.",MEMBER OF TECHNICAL STAFF (NODE.JS DEVELOPER),"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,0,0,1,0,125000,109762,Y,Year,2014,N,MOUNTAIN VIEW,MOUNTAIN VIEW,SANTA CLARA,CA,CA,37.380207,-122.08787,37.380207,-122.08787
65,CERTIFIED-WITHDRAWN,06-01-2015,03-10-2016,H-1B,31-01-2018,UNIVERSITY OF WISCONSIN-MADISON,ASSOCIATE PSYCHOLOGIST,MENTAL HEALTH COUNSELORS,1,0,0,0,0,1,0,57800,49816,Y,Year,2014,N,MADISON,MADISON,DANE,WI,WI,43.061546,-89.40024,43.061546,-89.40024
66,CERTIFIED-WITHDRAWN,07-01-2015,03-10-2016,H-1B,06-01-2018,"V-SOFT CONSULTING GROUP, INC",SYSTEMS ANALYST,COMPUTER SYSTEMS ANALYSTS,1,0,0,1,0,0,0,47000,46758,Y,Year,2014,Y,LOUISVILLE,CAMP HILL,CUMBERLAND COUNTY,KY,PA,38.258941,-85.55574,40.236139,-76.93084
67,CERTIFIED-WITHDRAWN,09-01-2015,03-10-2016,H-1B,22-01-2018,"NYSE MARKET (DE), INC.",SENIOR QA ANALYST,"COMPUTER OCCUPATIONS, ALL OTHER",1,0,0,0,0,1,0,97000,96866,Y,Year,2014,N,ATLANTA,NEW YORK,NEW YORK,GA,NY,33.931746,-84.37817,40.706019,-74.00858
68,CERTIFIED-WITHDRAWN,13-01-2015,03-10-2016,H-1B,25-06-2018,"NOMURA SECURITIES INTERNATIONAL, INC.",ASSOCIATE,FINANCIAL ANALYSTS,1,0,1,0,0,0,0,130000,125133,Y,Year,2014,N,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.765714,-73.9856,40.765714,-73.9856
69,CERTIFIED-WITHDRAWN,29-01-2015,03-10-2016,H-1B,09-04-2017,"ROCKWELL COLLINS, INC.",SR. SOFTWARE ENGINEER,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",1,0,0,0,0,0,1,100307,88837,Y,Year,2014,N,CEDAR RAPIDS,MELBOURNE,BREVARD,IA,FL,42.079415,-91.599215,28.077494,-80.61987
70,CERTIFIED-WITHDRAWN,04-02-2015,03-10-2016,H-1B,06-08-2018,"PLOW & HEARTH, LLC",WEB ANALYST (SEARCH MARKETING STRATEGIST),"COMPUTER OCCUPATIONS, ALL OTHER",1,1,0,0,0,0,0,52500,34154,Y,Year,2014,N,MADISON,MADISON,MADISON,VA,VA,38.393351,-78.28737,38.393351,-78.28737
